id,name,rgb,is_trans
0,Black,05131D,f
1,Blue,0055BF,f
2,Green,237841,f
3,Dark Turquoise,008F9B,f
4,Red,C91A09,f
5,Dark Pink,C870A0,f
6,Brown,583927,f
7,Light Gray,9BA19D,f
8,Dark Gray,6D6E5C,f
10,Bright Green,4B9F4A,f
13,Pink,FC97AC,f
14,Yellow,F2CD37,f
15,White,FFFFFF,f
19,Tan,E4CD9E,f
25,Orange,FE8A18,f
26,Magenta,923978,f
27,Lime,BBE90B,f
28,Dark Tan,958A73,f
29,Bright Pink,E4ADC8,f
30,Medium Lavender,AC78BA,f
31,Lavender,E1D5ED,f
33,Trans-Dark Blue,0020A0,t
34,Trans-Green,84B68D,t
36,Trans-Red,C91A09,t
40,Trans-Brown,635F52,t
43,Trans-Light Blue,AEEFEC,t
42,Trans-Neon Green,F8F184,t
46,Trans-Yellow,F5CD2F,t
47,Trans-Clear,FCFCFC,t
70,Reddish Brown,582A12,f
71,Light Bluish Gray,A0A5A9,f
72,Dark Bluish Gray,6C6E68,f
73,Medium Blue,5A93DB,f
78,Light Nougat,F6D7B3,f
79,Milky White,FFFFFF,f
80,Metallic Silver,A5A9B4,f
84,Medium Nougat,AA7D55,f
85,Dark Purple,3F3691,f
92,Nougat,D09168,f
326,Yellowish Green,DFEEA5,f
57,Trans-Orange,F08F1C,t
191,Bright Light Orange,F8BB3D,f
212,Bright Light Blue,9FC3E9,f
226,Bright Light Yellow,FFF03A,f
272,Dark Blue,0A3463,f
288,Dark Green,184632,f
297,Pearl Gold,AA7F2E,f
308,Dark Brown,352100,f
313,Maersk Blue,3592C3,f
320,Dark Red,720E0F,f
321,Dark Azure,078BC9,f
322,Medium Azure,36AEBF,f
323,Light Aqua,ADC3C0,f
330,Olive Green,9B9A5A,f
378,Sand Green,A0BCAC,f
379,Sand Blue,6074A1,f
462,Medium Orange,FFA70B,f
484,Dark Orange,A95500,f
503,Very Light Gray,E6E3DA,f
353,Coral,FF698F,f
508,Fabuland Red,FF8014,f